Evid,Magnitude,Magnitude Type,Epoch(UTC),Time UTC,Time Local,Distance From,Lat,Lon,Depth Km,Depth Mi
61997697,0.8,l,1715702795.65,2024/05/14 16:06:35,2024/05/14 09:06:35 PDT,"0.5 km from Mt Rainier, WA",46.8523,-121.7658,1.1,0.7
61997702,0.2,l,1715702696.51,2024/05/14 16:04:56,2024/05/14 09:04:56 PDT,"0.5 km from Mt Rainier, WA",46.8545,-121.7663,1.9,1.2
61997692,0.3,l,1715702412.95,2024/05/14 16:00:12,2024/05/14 09:00:12 PDT,"0.6 km from Mt Rainier, WA",46.853,-121.7685,0.7,0.4
61997682,0.7,l,1715702119.11,2024/05/14 15:55:19,2024/05/14 08:55:19 PDT,"0.7 km from Mt Rainier, WA",46.8523,-121.7685,1.1,0.7
61997677,0.8,l,1715701351.55,2024/05/14 15:42:31,2024/05/14 08:42:31 PDT,"0.5 km from Mt Rainier, WA",46.8535,-121.7665,1.1,0.7
61997672,0.2,l,1715700897.02,2024/05/14 15:34:57,2024/05/14 08:34:57 PDT,"0.6 km from Mt Rainier, WA",46.8523,-121.7683,0.7,0.4
61997667,1.4,l,1715700845.55,2024/05/14 15:34:05,2024/05/14 08:34:05 PDT,"0.8 km from Mt Rainier, WA",46.8532,-121.7703,-0.4,-0.2
61997547,0.4,l,1715645763.77,2024/05/14 00:16:03,2024/05/13 17:16:03 PDT,"18.2 km from Mt Rainier, WA",46.9415,-121.9618,12.4,7.7
61997337,0.4,l,1715618267.82,2024/05/13 16:37:47,2024/05/13 09:37:47 PDT,"15.5 km from Enumclaw, WA",47.089,-121.8743,10.7,6.6
61997112,0.4,l,1715553575.48,2024/05/12 22:39:35,2024/05/12 15:39:35 PDT,"17.7 km from Mt Rainier, WA",46.9333,-121.9612,11.0,6.8
61997097,0.4,l,1715550269.9,2024/05/12 21:44:29,2024/05/12 14:44:29 PDT,"17.7 km from Mt Rainier, WA",46.9385,-121.9565,11.1,6.9
61997092,1.1,l,1715550167.5,2024/05/12 21:42:47,2024/05/12 14:42:47 PDT,"18.3 km from Mt Rainier, WA",46.9313,-121.9715,11.9,7.4
61997087,0.3,l,1715550033.36,2024/05/12 21:40:33,2024/05/12 14:40:33 PDT,"18.3 km from Mt Rainier, WA",46.9385,-121.9652,12.0,7.5
61997072,0.8,l,1715548474.72,2024/05/12 21:14:34,2024/05/12 14:14:34 PDT,"17.8 km from Mt Rainier, WA",46.9343,-121.9613,11.2,6.9
61996952,0.7,l,1715496086.15,2024/05/12 06:41:26,2024/05/11 23:41:26 PDT,"15.3 km from Enumclaw, WA",47.0917,-121.8728,10.8,6.7
61996762,0.3,l,1715448028.9,2024/05/11 17:20:28,2024/05/11 10:20:28 PDT,"17.7 km from Mt Rainier, WA",46.8323,-121.9900,9.8,6.1
61996647,0.3,l,1715422665.44,2024/05/11 10:17:45,2024/05/11 03:17:45 PDT,"14.9 km from Enumclaw, WA",47.0758,-121.9368,17.2,10.6
61996592,0.4,l,1715411018.93,2024/05/11 07:03:38,2024/05/11 00:03:38 PDT,"0.8 km from Mt Rainier, WA",46.8475,-121.7652,0.4,0.2
61996552,0.9,l,1715399390.62,2024/05/11 03:49:50,2024/05/10 20:49:50 PDT,"0.2 km from Mt Rainier, WA",46.8537,-121.7627,0.4,0.2
61996547,0.3,l,1715397458.77,2024/05/11 03:17:38,2024/05/10 20:17:38 PDT,"0.2 km from Mt Rainier, WA",46.8528,-121.7620,0.2,0.1
61996472,0.4,l,1715375868.04,2024/05/10 21:17:48,2024/05/10 14:17:48 PDT,"1.3 km from Mt Rainier, WA",46.8627,-121.7698,0.2,0.1
61996372,0.4,l,1715363285.67,2024/05/10 17:48:05,2024/05/10 10:48:05 PDT,"0.7 km from Mt Rainier, WA",46.8597,-121.7612,0.8,0.5
61996357,0.3,l,1715355426.28,2024/05/10 15:37:06,2024/05/10 08:37:06 PDT,"18.5 km from Mt Rainier, WA",46.9585,-121.9477,5.1,3.2
61996337,0.3,l,1715346477.07,2024/05/10 13:07:57,2024/05/10 06:07:57 PDT,"18.0 km from Mt Rainier, WA",46.796,-121.9805,7.3,4.5
61996062,0.6,l,1715284405.44,2024/05/09 19:53:25,2024/05/09 12:53:25 PDT,"14.5 km from Mt Rainier, WA",46.8875,-121.9438,12.7,7.9
61995752,0.3,l,1715193145.29,2024/05/08 18:32:25,2024/05/08 11:32:25 PDT,"20.0 km from Mt Rainier, WA",46.7375,-121.9597,5.2,3.2
61995612,0.6,l,1715160915.12,2024/05/08 09:35:15,2024/05/08 02:35:15 PDT,"14.8 km from Mt Rainier, WA",46.8875,-121.9482,12.5,7.7
61995207,0.3,l,1715076926.07,2024/05/07 10:15:26,2024/05/07 03:15:26 PDT,"15.4 km from Mt Rainier, WA",46.81,-121.9523,6.6,4.1
61994977,0.3,l,1715025761.62,2024/05/06 20:02:41,2024/05/06 13:02:41 PDT,"0.9 km from Mt Rainier, WA",46.8467,-121.7673,0.2,0.1
61994437,0.6,l,1714909409.19,2024/05/05 11:43:29,2024/05/05 04:43:29 PDT,"12.5 km from Mt Rainier, WA",46.8433,-121.9237,10.9,6.8
61994342,0.2,l,1714878935.81,2024/05/05 03:15:35,2024/05/04 20:15:35 PDT,"0.8 km from Mt Rainier, WA",46.8513,-121.7702,-2.4,-1.5
61993812,0.4,l,1714720873.46,2024/05/03 07:21:13,2024/05/03 00:21:13 PDT,"3.0 km from Mt Rainier, WA",46.8517,-121.7213,-1.9,-1.2
61993802,0.2,l,1714715438.9,2024/05/03 05:50:38,2024/05/02 22:50:38 PDT,"14.0 km from Mt Rainier, WA",46.8903,-121.9362,11.9,7.4
62001266,0.5,l,1714592287.04,2024/05/01 19:38:07,2024/05/01 12:38:07 PDT,"11.5 km from Mt Rainier, WA",46.8642,-121.6103,4.0,2.5
62001151,0.4,l,1714572367.39,2024/05/01 14:06:07,2024/05/01 07:06:07 PDT,"20.8 km from Mt Rainier, WA",46.6968,-121.9097,4.9,3.0
61992817,0.6,l,1714453888.66,2024/04/30 05:11:28,2024/04/29 22:11:28 PDT,"0.2 km from Mt Rainier, WA",46.8533,-121.7622,1.4,0.9
61992802,0.2,d,1714442344.21,2024/04/30 01:59:04,2024/04/29 18:59:04 PDT,"21.7 km from Mt Rainier, WA",46.6617,-121.7042,5.7,3.5
61992642,0.2,l,1714418579.76,2024/04/29 19:22:59,2024/04/29 12:22:59 PDT,"18.1 km from Mt Rainier, WA",46.94,-121.9603,11.1,6.9
61992567,0.8,l,1714392797.98,2024/04/29 12:13:17,2024/04/29 05:13:17 PDT,"8.7 km from Mt Rainier, WA",46.9222,-121.7052,4.4,2.7
61992542,0.4,l,1714379942.52,2024/04/29 08:39:02,2024/04/29 01:39:02 PDT,"15.9 km from Mt Rainier, WA",46.9047,-121.9543,13.6,8.5
61992362,0.4,l,1714318161.96,2024/04/28 15:29:21,2024/04/28 08:29:21 PDT,"6.2 km from Mt Rainier, WA",46.8223,-121.6918,-1.6,-1.0
61992127,0.3,l,1714178418.85,2024/04/27 00:40:18,2024/04/26 17:40:18 PDT,"20.7 km from Mt Rainier, WA",47.0128,-121.8993,17.6,10.9
61991957,1.4,l,1714138263.58,2024/04/26 13:31:03,2024/04/26 06:31:03 PDT,"1.0 km from Mt Rainier, WA",46.8455,-121.7655,0.9,0.6
61991952,0.7,l,1714138146.18,2024/04/26 13:29:06,2024/04/26 06:29:06 PDT,"0.8 km from Mt Rainier, WA",46.8467,-121.7655,0.6,0.4
61999401,0.3,l,1713965434.71,2024/04/24 13:30:34,2024/04/24 06:30:34 PDT,"15.3 km from Mt Rainier, WA",46.7563,-121.9028,4.3,2.7
61999391,0.1,l,1713963069.9,2024/04/24 12:51:09,2024/04/24 05:51:09 PDT,"0.9 km from Mt Rainier, WA",46.8472,-121.7675,-0.1,-0.1
61999361,0.5,l,1713954403.19,2024/04/24 10:26:43,2024/04/24 03:26:43 PDT,"0.9 km from Mt Rainier, WA",46.8462,-121.7652,0.8,0.5
61998771,0.2,l,1713789729.04,2024/04/22 12:42:09,2024/04/22 05:42:09 PDT,"14.8 km from Mt Rainier, WA",46.8872,-121.9475,12.4,7.7
61998376,0.6,l,1713665801.04,2024/04/21 02:16:41,2024/04/20 19:16:41 PDT,"13.4 km from Mt Rainier, WA",46.8655,-121.9347,10.9,6.7
61998366,0.5,l,1713660788.28,2024/04/21 00:53:08,2024/04/20 17:53:08 PDT,"14.7 km from Mt Rainier, WA",46.8857,-121.9465,12.7,7.8
61998166,0.1,l,1713558486.97,2024/04/19 20:28:06,2024/04/19 13:28:06 PDT,"13.8 km from Mt Rainier, WA",46.878,-121.9373,9.9,6.2
61997996,0.3,l,1713534513.28,2024/04/19 13:48:33,2024/04/19 06:48:33 PDT,"13.1 km from Mt Rainier, WA",46.8458,-121.9320,12.0,7.4
61997946,0.9,l,1713504174.6,2024/04/19 05:22:54,2024/04/18 22:22:54 PDT,"0.1 km from Mt Rainier, WA",46.853,-121.7613,0.9,0.5
61997926,0.3,l,1713498455.91,2024/04/19 03:47:35,2024/04/18 20:47:35 PDT,"0.4 km from Mt Rainier, WA",46.854,-121.7648,0.4,0.3
61997516,0.3,l,1713407168.61,2024/04/18 02:26:08,2024/04/17 19:26:08 PDT,"15.4 km from Mt Rainier, WA",46.7918,-121.9402,3.5,2.2
61997416,0.1,l,1713388645.68,2024/04/17 21:17:25,2024/04/17 14:17:25 PDT,"0.5 km from Mt Rainier, WA",46.8527,-121.7670,0.9,0.6
61997381,0.3,l,1713383061.52,2024/04/17 19:44:21,2024/04/17 12:44:21 PDT,"15.2 km from Mt Rainier, WA",46.8738,-121.9575,4.7,2.9
61997311,0.5,l,1713370662.24,2024/04/17 16:17:42,2024/04/17 09:17:42 PDT,"0.2 km from Mt Rainier, WA",46.8518,-121.7583,1.4,0.8
61988472,0.0,l,1713059626.97,2024/04/14 01:53:46,2024/04/13 18:53:46 PDT,"6.2 km from Mt Rainier, WA",46.8298,-121.6860,2.3,1.4
61988317,2.2,l,1712998644.78,2024/04/13 08:57:24,2024/04/13 01:57:24 PDT,"12.2 km from Mt Rainier, WA",46.8528,-121.9193,11.7,7.2
61988122,0.0,l,1712924574.93,2024/04/12 12:22:54,2024/04/12 05:22:54 PDT,"13.7 km from Mt Rainier, WA",46.8637,-121.9388,5.4,3.4
61988082,0.5,l,1712908745.54,2024/04/12 07:59:05,2024/04/12 00:59:05 PDT,"21.1 km from Mt Rainier, WA",46.7193,-121.9562,6.3,3.9
61987937,0.3,l,1712838691.28,2024/04/11 12:31:31,2024/04/11 05:31:31 PDT,"15.9 km from Mt Rainier, WA",46.9158,-121.9472,8.7,5.4
61987707,0.7,l,1712771752.06,2024/04/10 17:55:52,2024/04/10 10:55:52 PDT,"17.3 km from Mt Rainier, WA",46.763,-121.9450,4.3,2.7
61995351,0.5,l,1712653295.36,2024/04/09 09:01:35,2024/04/09 02:01:35 PDT,"0.2 km from Mt Rainier, WA",46.8552,-121.7612,1.9,1.2
