matched_file,longitude,latitude,distance_km,magnitude,depth,original_date,DAS_visibility
decimator_2023-08-28_06.37.00_UTC.h5,-122.1861667,46.20383333,63.08202165,0.62,3.86,2023-08-28 6:37:59,n
decimator_2023-08-28_06.59.00_UTC.h5,-122.1905,46.20866667,62.68766934,-0.22,1.82,2023-08-28 6:59:25,n
decimator_2023-08-28_07.12.00_UTC.h5,-122.1875,46.20566667,62.9239966,0.5,3.81,2023-08-28 7:12:48,n
decimator_2023-08-28_07.12.00_UTC.h5,-122.1785,46.2005,63.23942013,1.2,4.65,2023-08-28 7:12:48,n
decimator_2023-08-28_08.14.00_UTC.h5,-121.9635,46.77233333,5.062357765,1.26,9.41,2023-08-28 8:14:43,y
decimator_2023-08-28_09.28.00_UTC.h5,-122.197,46.201,63.65956546,0.37,3.62,2023-08-28 9:28:30,n
decimator_2023-08-28_10.25.00_UTC.h5,-121.9555,46.77633333,4.985970767,0.22,9.33,2023-08-28 10:25:21,y
decimator_2023-08-28_12.58.00_UTC.h5,-121.958,46.7765,5.118815119,0.53,9.21,2023-08-28 12:58:32,y
decimator_2023-08-28_18.47.00_UTC.h5,-121.9611667,46.77566667,5.205231815,0.71,9.39,2023-08-28 18:47:59,y
decimator_2023-08-28_21.51.00_UTC.h5,-121.9516667,46.78166667,5.310560876,1.17,9.23,2023-08-28 21:52:00,y
decimator_2023-08-28_22.11.00_UTC.h5,-121.941,46.78366667,5.143914011,0.39,8.64,2023-08-28 22:11:04,y
decimator_2023-08-28_22.22.00_UTC.h5,-122.057,46.26233333,54.12388894,1.74,10.29,2023-08-28 22:22:34,n
decimator_2023-08-29_00.17.00_UTC.h5,-122.2,46.1945,64.41772751,0,7.58,2023-08-29 0:17:59,n
decimator_2023-08-29_03.07.00_UTC.h5,-121.9596667,46.77766667,5.299588907,0.33,9.93,2023-08-29 3:07:58,y
decimator_2023-08-29_05.07.00_UTC.h5,-121.756,46.84983333,7.24434089,0.18,3.1,2023-08-29 5:07:09,n
decimator_2023-08-29_05.25.00_UTC.h5,-121.9478333,46.78483333,5.477450735,0.6,9.24,2023-08-29 5:25:50,y
decimator_2023-08-29_05.49.00_UTC.h5,-121.962,46.775,5.193354256,0.34,9.04,2023-08-29 5:49:49,y
decimator_2023-08-29_05.54.00_UTC.h5,-121.8905,46.71733333,2.282054874,0.81,4.52,2023-08-29 5:54:32,y
decimator_2023-08-29_07.44.00_UTC.h5,-121.9583333,46.7765,5.134897576,0.88,9.5,2023-08-29 7:44:59,y
