Channel,Optical Distance [m],Latitude [°],Longitude [°],Elevation [m],Uncertainty [m],Distance along road [m],Azimuth [°],Pick,x,y,Direction,Direction_manual,Curve,Notice,Direction_manual_simplified,Lithology
46,440.3,46.78377,-121.73982,1652,13.9,364.1,197,TRUE,-219.6671401,-231.9526169,SSW,SW,TRUE,,SW,Qra
47,449.8,46.78372,-121.73985,1651,13.9,370.8,205,TRUE,-221.9515799,-237.5123633,SSW,SW,TRUE,,SW,Qra
48,459.4,46.78365,-121.73993,1650,12.2,380.8,213,TRUE,-228.0431719,-245.2960081,SSW,SW,TRUE,,SW,Qra
49,469,46.78358,-121.74002,1650,10.6,390.8,221,TRUE,-234.8961937,-253.079653,SW,SW,TRUE,,SW,Qra
50,478.6,46.78351,-121.7401,1650,10.3,400.9,221,TRUE,-240.9878184,-260.8632978,SW,SW,TRUE,,SW,Qra
51,488.1,46.78344,-121.74019,1649,10.3,410.9,231,TRUE,-247.8408748,-268.6469427,SW,W,TRUE,,SW,Qra
52,497.7,46.78342,-121.74029,1649,9.8,419.1,240,TRUE,-255.4551287,-270.8708412,WSW,W,TRUE,,SW,Qra
53,507.3,46.78339,-121.74039,1648,10.7,427.3,250,TRUE,-263.0694371,-274.206689,WSW,W,TRUE,,SW,Qra
54,516.8,46.78337,-121.74049,1648,11.7,435.4,250,TRUE,-270.6837037,-276.4305876,WSW,W,TRUE,,SW,Qra
55,526.4,46.78334,-121.74059,1647,11.7,443.6,250,TRUE,-278.2980276,-279.7664353,WSW,W,TRUE,,SW,Qra
56,536,46.78332,-121.7407,1647,11.7,451.8,258,TRUE,-286.6737246,-281.9903339,WSW,W,TRUE,,SW,Qra
57,545.5,46.78332,-121.74081,1646,11.4,460.6,267,TRUE,-295.0493181,-281.9903339,W,W,TRUE,,SW,Qra
58,555.1,46.78333,-121.74093,1646,11.1,469.3,275,TRUE,-304.1862727,-280.8783846,W,W,TRUE,,NW,Qra
59,564.7,46.78334,-121.74104,1645,10.8,478.1,275,TRUE,-312.5618066,-279.7664353,W,W,TRUE,,NW,Qra
60,574.3,46.78334,-121.74115,1645,10.8,486.8,275,TRUE,-320.9373971,-279.7664353,W,W,TRUE,,NW,Qra
61,583.8,46.78335,-121.74127,1644,10.8,495.6,279,TRUE,-330.0743435,-278.6544861,W,NW,TRUE,,NW,Qra
62,593.4,46.78337,-121.74138,1643,10.9,504.1,284,FALSE,-338.4498066,-276.4305876,WNW,NW,TRUE,,NW,Qra
63,603,46.7834,-121.74148,1643,11.1,512.6,288,FALSE,-346.0637826,-273.0947398,WNW,NW,TRUE,,NW,Qra
64,612.5,46.78342,-121.74159,1642,11.2,521.1,290,FALSE,-354.439232,-270.8708412,WNW,NW,TRUE,,NW,Qra
65,622.1,46.78345,-121.74169,1642,11.2,529.6,294,TRUE,-362.0531921,-267.5349934,WNW,NW,TRUE,,NW,Qra
66,631.7,46.78349,-121.74179,1641,11.1,538.2,298,TRUE,-369.6670749,-263.0871964,WNW,NW,TRUE,,NW,Qra
67,641.3,46.78353,-121.74188,1641,11.1,546.8,300,TRUE,-376.5195319,-258.6393993,WNW,NW,TRUE,,NW,Qra
68,650.8,46.78357,-121.74198,1640,11.1,555.3,304,TRUE,-384.1333927,-254.1916022,NW,NW,TRUE,,NW,Qra
69,660.4,46.78365,-121.74212,1641,11.1,569.9,307,TRUE,-394.7926028,-245.2960081,NW,NW,TRUE,,NW,Qra
70,670,46.78374,-121.74227,1643,14,584.4,311,TRUE,-406.2131176,-235.2884647,NW,NNW,TRUE,,NW,Qra
71,679.5,46.78383,-121.74241,1644,17,598.9,314,TRUE,-416.8721838,-225.2809213,NW,NNW,TRUE,,NW,Qra
72,689.1,46.78387,-121.74247,1644,13.2,605.9,318,TRUE,-421.440333,-220.8331243,NW,NNW,TRUE,,NW,Qra
73,698.7,46.78392,-121.74253,1644,9.6,612.9,322,TRUE,-426.0083962,-215.2733779,NW,NNW,TRUE,,NW,Qra
74,708.3,46.78397,-121.74259,1643,13.4,620,322,TRUE,-430.5764509,-209.7136316,NW,NNW,TRUE,,NW,Qra
75,717.8,46.78402,-121.74264,1643,13.4,627,326,TRUE,-434.3830894,-204.1538853,NW,NNW,TRUE,,NW,Qra
76,727.4,46.78408,-121.74268,1642,13.5,633.8,330,FALSE,-437.4282327,-197.4821897,NNW,NNW,TRUE,,NW,Qra
77,737,46.78413,-121.74272,1642,13.6,640.6,334,TRUE,-440.473451,-191.9224434,NNW,NNW,TRUE,,NW,Qra
78,746.5,46.78419,-121.74276,1642,13.7,647.4,334,TRUE,-443.5185812,-185.2507478,NNW,NNW,TRUE,,NW,Qra
79,756.1,46.78424,-121.7428,1641,13.7,654.3,334,TRUE,-446.5637876,-179.6910014,NNW,NNW,TRUE,,NW,Qra
80,765.7,46.7843,-121.74284,1640,13.7,661.1,334,FALSE,-449.6089048,-173.0193058,NNW,NNW,TRUE,,NW,Qra
81,775.3,46.78435,-121.74288,1640,13.7,667.9,336,TRUE,-452.6540993,-167.4595595,NNW,NNW,TRUE,,NW,Qra
82,784.8,46.78443,-121.74292,1639,12.6,676.9,338,TRUE,-455.6990342,-158.5639654,NNW,NNW,TRUE,,NW,Qra
83,794.4,46.78451,-121.74296,1639,11.5,685.8,340,TRUE,-458.74396,-149.6683713,NNW,NNW,TRUE,,NW,Qra
84,804,46.78458,-121.74299,1638,10.5,694.8,339,TRUE,-461.0275628,-141.8847264,NNW,NNW,TRUE,,NW,Qra
85,813.5,46.78475,-121.7431,1637,14.4,715.3,338,TRUE,-469.401478,-122.9815889,NNW,NNW,TRUE,,NW,Qra
86,823.1,46.78492,-121.7432,1636,20.2,735.7,331,TRUE,-477.0139453,-104.0784513,NNW,NNW,TRUE,,NW,Qra
87,832.7,46.78496,-121.74325,1636,18.3,741.1,325,FALSE,-480.8205628,-99.63065427,NW,NNW,TRUE,,NW,Qra
88,842.2,46.785,-121.74329,1636,10.8,746.4,319,TRUE,-483.8657809,-95.1828572,NW,NNW,TRUE,,NW,Qra
89,851.8,46.78503,-121.74334,1635,15.9,751.8,319,TRUE,-487.6724782,-91.84700941,NW,NNW,TRUE,,NW,Qra
90,861.4,46.78507,-121.74338,1635,15.9,757.1,319,TRUE,-490.7176872,-87.39921234,NW,NNW,TRUE,,NW,Qra
91,871,46.78511,-121.74343,1635,15.9,762.5,308,TRUE,-494.524284,-82.95141527,NW,NW,TRUE,,NW,Qra
92,880.5,46.78514,-121.74359,1634,12,775.5,298,TRUE,-506.706278,-79.61556748,WNW,NW,TRUE,,NW,Qra
93,890.1,46.78517,-121.74376,1634,11,788.6,287,TRUE,-519.6496498,-76.27971968,WNW,NW,TRUE,,NW,Qra
