cluster_time,n_detections,lon_mean,lat_mean,templates,matches_catalog,catalog_event_id
2023-08-27 10:11:08,40,-121.95734583333333,46.77699166666666,detections_2023-08-27_05-36-05.360.csv;detections_2023-08-27_05-58-27.600.csv;detections_2023-08-27_06-30-01.970.csv;detections_2023-08-27_06-54-53.700.csv;detections_2023-08-27_09-58-08.540.csv;detections_2023-08-27_10-10-23.770.csv;detections_2023-08-27_10-26-15.050.csv;detections_2023-08-27_10-33-48.930.csv;detections_2023-08-27_10-36-46.980.csv;detections_2023-08-27_10-57-37.070.csv;detections_2023-08-27_11-16-32.730.csv;detections_2023-08-27_11-35-13.520.csv;detections_2023-08-27_11-37-37.230.csv;detections_2023-08-27_11-37-59.620.csv;detections_2023-08-27_11-46-16.910.csv;detections_2023-08-27_11-55-15.880.csv;detections_2023-08-27_12-36-58.390.csv;detections_2023-08-27_12-41-20.950.csv;detections_2023-08-27_12-50-23.490.csv;detections_2023-08-27_13-26-03.210.csv;detections_2023-08-27_14-02-20.400.csv;detections_2023-08-27_20-07-47.140.csv;detections_2023-08-28_01-25-08.290.csv;detections_2023-08-28_01-58-56.490.csv;detections_2023-08-28_02-44-56.290.csv;detections_2023-08-28_04-28-20.740.csv;detections_2023-08-28_08-14-42.960.csv;detections_2023-08-28_10-25-21.180.csv;detections_2023-08-28_12-58-31.740.csv;detections_2023-08-28_18-47-59.200.csv;detections_2023-08-28_21-51-59.670.csv;detections_2023-08-28_22-11-03.590.csv;detections_2023-08-29_03-07-57.930.csv;detections_2023-08-29_05-25-49.600.csv;detections_2023-08-29_05-49-48.530.csv;detections_2023-08-29_07-44-59.430.csv;detections_2023-08-29_10-21-44.840.csv;detections_2023-08-30_05-59-49.670.csv;detections_2023-08-30_06-13-26.140.csv;detections_2023-08-30_15-58-06.050.csv,False,
2023-08-27 10:26:16,20,-121.95675833333333,46.776316666666666,detections_2023-08-27_05-36-05.360.csv;detections_2023-08-27_05-58-27.600.csv;detections_2023-08-27_06-54-53.700.csv;detections_2023-08-27_09-58-08.540.csv;detections_2023-08-27_10-10-23.770.csv;detections_2023-08-27_10-33-48.930.csv;detections_2023-08-27_10-57-37.070.csv;detections_2023-08-27_11-16-32.730.csv;detections_2023-08-27_11-35-13.520.csv;detections_2023-08-27_11-37-37.230.csv;detections_2023-08-27_11-37-59.620.csv;detections_2023-08-27_12-36-58.390.csv;detections_2023-08-27_12-41-20.950.csv;detections_2023-08-27_13-26-03.210.csv;detections_2023-08-28_04-28-20.740.csv;detections_2023-08-28_08-14-42.960.csv;detections_2023-08-28_21-51-59.670.csv;detections_2023-08-29_07-44-59.430.csv;detections_2023-08-30_05-59-49.670.csv;detections_2023-08-30_15-58-06.050.csv,True,NA
2023-08-27 10:33:51,39,-121.95722222222223,46.77708547008547,detections_2023-08-27_05-36-05.360.csv;detections_2023-08-27_05-58-27.600.csv;detections_2023-08-27_06-30-01.970.csv;detections_2023-08-27_06-54-53.700.csv;detections_2023-08-27_09-58-08.540.csv;detections_2023-08-27_10-10-23.770.csv;detections_2023-08-27_10-26-15.050.csv;detections_2023-08-27_10-36-46.980.csv;detections_2023-08-27_10-57-37.070.csv;detections_2023-08-27_11-16-32.730.csv;detections_2023-08-27_11-35-13.520.csv;detections_2023-08-27_11-37-37.230.csv;detections_2023-08-27_11-37-59.620.csv;detections_2023-08-27_11-46-16.910.csv;detections_2023-08-27_11-55-15.880.csv;detections_2023-08-27_12-36-58.390.csv;detections_2023-08-27_12-41-20.950.csv;detections_2023-08-27_12-50-23.490.csv;detections_2023-08-27_13-26-03.210.csv;detections_2023-08-27_14-02-20.400.csv;detections_2023-08-27_20-07-47.140.csv;detections_2023-08-28_01-25-08.290.csv;detections_2023-08-28_01-58-56.490.csv;detections_2023-08-28_02-44-56.290.csv;detections_2023-08-28_04-28-20.740.csv;detections_2023-08-28_08-14-42.960.csv;detections_2023-08-28_10-25-21.180.csv;detections_2023-08-28_12-58-31.740.csv;detections_2023-08-28_18-47-59.200.csv;detections_2023-08-28_21-51-59.670.csv;detections_2023-08-28_22-11-03.590.csv;detections_2023-08-29_03-07-57.930.csv;detections_2023-08-29_05-25-49.600.csv;detections_2023-08-29_05-49-48.530.csv;detections_2023-08-29_07-44-59.430.csv;detections_2023-08-29_10-21-44.840.csv;detections_2023-08-30_05-59-49.670.csv;detections_2023-08-30_06-13-26.140.csv;detections_2023-08-30_15-58-06.050.csv,True,NA
2023-08-27 10:36:53,25,-121.95707333333334,46.77696,detections_2023-08-27_05-36-05.360.csv;detections_2023-08-27_05-58-27.600.csv;detections_2023-08-27_06-30-01.970.csv;detections_2023-08-27_06-54-53.700.csv;detections_2023-08-27_09-58-08.540.csv;detections_2023-08-27_10-10-23.770.csv;detections_2023-08-27_10-33-48.930.csv;detections_2023-08-27_10-36-46.980.csv;detections_2023-08-27_10-57-37.070.csv;detections_2023-08-27_11-16-32.730.csv;detections_2023-08-27_11-35-13.520.csv;detections_2023-08-27_11-37-37.230.csv;detections_2023-08-27_11-37-59.620.csv;detections_2023-08-27_12-36-58.390.csv;detections_2023-08-27_12-41-20.950.csv;detections_2023-08-27_13-26-03.210.csv;detections_2023-08-27_14-02-20.400.csv;detections_2023-08-28_01-25-08.290.csv;detections_2023-08-28_04-28-20.740.csv;detections_2023-08-28_08-14-42.960.csv;detections_2023-08-28_12-58-31.740.csv;detections_2023-08-28_18-47-59.200.csv;detections_2023-08-28_21-51-59.670.csv;detections_2023-08-29_05-25-49.600.csv;detections_2023-08-29_07-44-59.430.csv,True,NA
2023-08-27 10:48:12,10,-121.95540000000001,46.777166666666666,detections_2023-08-27_05-36-05.360.csv;detections_2023-08-27_05-58-27.600.csv;detections_2023-08-27_10-10-23.770.csv;detections_2023-08-27_10-57-37.070.csv;detections_2023-08-27_11-16-32.730.csv;detections_2023-08-27_11-35-13.520.csv;detections_2023-08-27_12-36-58.390.csv;detections_2023-08-28_08-14-42.960.csv;detections_2023-08-28_21-51-59.670.csv;detections_2023-08-29_07-44-59.430.csv,False,
2023-08-27 10:54:23,14,-121.95714285714287,46.77772619047619,detections_2023-08-27_05-36-05.360.csv;detections_2023-08-27_05-58-27.600.csv;detections_2023-08-27_06-30-01.970.csv;detections_2023-08-27_10-10-23.770.csv;detections_2023-08-27_10-33-48.930.csv;detections_2023-08-27_10-57-37.070.csv;detections_2023-08-27_11-16-32.730.csv;detections_2023-08-27_11-35-13.520.csv;detections_2023-08-27_12-36-58.390.csv;detections_2023-08-27_12-41-20.950.csv;detections_2023-08-27_14-02-20.400.csv;detections_2023-08-28_08-14-42.960.csv;detections_2023-08-28_21-51-59.670.csv;detections_2023-08-29_07-44-59.430.csv,False,
2023-08-27 10:57:43,40,-121.95734583333333,46.77699166666666,detections_2023-08-27_05-36-05.360.csv;detections_2023-08-27_05-58-27.600.csv;detections_2023-08-27_06-30-01.970.csv;detections_2023-08-27_06-54-53.700.csv;detections_2023-08-27_09-58-08.540.csv;detections_2023-08-27_10-10-23.770.csv;detections_2023-08-27_10-26-15.050.csv;detections_2023-08-27_10-33-48.930.csv;detections_2023-08-27_10-36-46.980.csv;detections_2023-08-27_10-57-37.070.csv;detections_2023-08-27_11-16-32.730.csv;detections_2023-08-27_11-35-13.520.csv;detections_2023-08-27_11-37-37.230.csv;detections_2023-08-27_11-37-59.620.csv;detections_2023-08-27_11-46-16.910.csv;detections_2023-08-27_11-55-15.880.csv;detections_2023-08-27_12-36-58.390.csv;detections_2023-08-27_12-41-20.950.csv;detections_2023-08-27_12-50-23.490.csv;detections_2023-08-27_13-26-03.210.csv;detections_2023-08-27_14-02-20.400.csv;detections_2023-08-27_20-07-47.140.csv;detections_2023-08-28_01-25-08.290.csv;detections_2023-08-28_01-58-56.490.csv;detections_2023-08-28_02-44-56.290.csv;detections_2023-08-28_04-28-20.740.csv;detections_2023-08-28_08-14-42.960.csv;detections_2023-08-28_10-25-21.180.csv;detections_2023-08-28_12-58-31.740.csv;detections_2023-08-28_18-47-59.200.csv;detections_2023-08-28_21-51-59.670.csv;detections_2023-08-28_22-11-03.590.csv;detections_2023-08-29_03-07-57.930.csv;detections_2023-08-29_05-25-49.600.csv;detections_2023-08-29_05-49-48.530.csv;detections_2023-08-29_07-44-59.430.csv;detections_2023-08-29_10-21-44.840.csv;detections_2023-08-30_05-59-49.670.csv;detections_2023-08-30_06-13-26.140.csv;detections_2023-08-30_15-58-06.050.csv,True,NA
2023-08-27 11:16:37,40,-121.95716250000001,46.77730416666667,detections_2023-08-27_05-36-05.360.csv;detections_2023-08-27_05-58-27.600.csv;detections_2023-08-27_06-30-01.970.csv;detections_2023-08-27_06-54-53.700.csv;detections_2023-08-27_09-58-08.540.csv;detections_2023-08-27_10-10-23.770.csv;detections_2023-08-27_10-26-15.050.csv;detections_2023-08-27_10-33-48.930.csv;detections_2023-08-27_10-36-46.980.csv;detections_2023-08-27_10-57-37.070.csv;detections_2023-08-27_11-35-13.520.csv;detections_2023-08-27_11-37-37.230.csv;detections_2023-08-27_11-37-59.620.csv;detections_2023-08-27_11-46-16.910.csv;detections_2023-08-27_11-55-15.880.csv;detections_2023-08-27_12-36-58.390.csv;detections_2023-08-27_12-41-20.950.csv;detections_2023-08-27_12-50-23.490.csv;detections_2023-08-27_13-26-03.210.csv;detections_2023-08-27_14-02-20.400.csv;detections_2023-08-27_20-07-47.140.csv;detections_2023-08-28_01-25-08.290.csv;detections_2023-08-28_01-58-56.490.csv;detections_2023-08-28_02-44-56.290.csv;detections_2023-08-28_04-28-20.740.csv;detections_2023-08-28_08-14-42.960.csv;detections_2023-08-28_10-25-21.180.csv;detections_2023-08-28_12-58-31.740.csv;detections_2023-08-28_18-47-59.200.csv;detections_2023-08-28_21-51-59.670.csv;detections_2023-08-28_22-11-03.590.csv;detections_2023-08-29_03-07-57.930.csv;detections_2023-08-29_05-25-49.600.csv;detections_2023-08-29_05-49-48.530.csv;detections_2023-08-29_07-44-59.430.csv;detections_2023-08-29_10-21-44.840.csv;detections_2023-08-30_00-51-10.050.csv;detections_2023-08-30_05-59-49.670.csv;detections_2023-08-30_06-13-26.140.csv;detections_2023-08-30_15-58-06.050.csv,True,NA
2023-08-27 11:35:17,40,-121.95722083333332,46.777229166666665,detections_2023-08-27_05-36-05.360.csv;detections_2023-08-27_05-58-27.600.csv;detections_2023-08-27_06-30-01.970.csv;detections_2023-08-27_06-54-53.700.csv;detections_2023-08-27_09-58-08.540.csv;detections_2023-08-27_10-10-23.770.csv;detections_2023-08-27_10-26-15.050.csv;detections_2023-08-27_10-33-48.930.csv;detections_2023-08-27_10-36-46.980.csv;detections_2023-08-27_10-57-37.070.csv;detections_2023-08-27_11-16-32.730.csv;detections_2023-08-27_11-37-37.230.csv;detections_2023-08-27_11-37-59.620.csv;detections_2023-08-27_11-46-16.910.csv;detections_2023-08-27_11-55-15.880.csv;detections_2023-08-27_12-36-58.390.csv;detections_2023-08-27_12-41-20.950.csv;detections_2023-08-27_12-50-23.490.csv;detections_2023-08-27_13-26-03.210.csv;detections_2023-08-27_14-02-20.400.csv;detections_2023-08-27_20-07-47.140.csv;detections_2023-08-28_01-25-08.290.csv;detections_2023-08-28_01-58-56.490.csv;detections_2023-08-28_02-44-56.290.csv;detections_2023-08-28_04-28-20.740.csv;detections_2023-08-28_08-14-42.960.csv;detections_2023-08-28_10-25-21.180.csv;detections_2023-08-28_12-58-31.740.csv;detections_2023-08-28_18-47-59.200.csv;detections_2023-08-28_21-51-59.670.csv;detections_2023-08-28_22-11-03.590.csv;detections_2023-08-29_03-07-57.930.csv;detections_2023-08-29_05-25-49.600.csv;detections_2023-08-29_05-49-48.530.csv;detections_2023-08-29_07-44-59.430.csv;detections_2023-08-29_10-21-44.840.csv;detections_2023-08-30_00-51-10.050.csv;detections_2023-08-30_05-59-49.670.csv;detections_2023-08-30_06-13-26.140.csv;detections_2023-08-30_15-58-06.050.csv,True,NA
2023-08-27 11:35:54,1,-121.95783333333333,46.77666666666666,detections_2023-08-27_11-35-13.520.csv,False,
2023-08-27 11:37:43,32,-121.95728645833333,46.777109375,detections_2023-08-27_05-36-05.360.csv;detections_2023-08-27_05-58-27.600.csv;detections_2023-08-27_06-30-01.970.csv;detections_2023-08-27_06-54-53.700.csv;detections_2023-08-27_09-58-08.540.csv;detections_2023-08-27_10-10-23.770.csv;detections_2023-08-27_10-26-15.050.csv;detections_2023-08-27_10-33-48.930.csv;detections_2023-08-27_10-36-46.980.csv;detections_2023-08-27_10-57-37.070.csv;detections_2023-08-27_11-16-32.730.csv;detections_2023-08-27_11-35-13.520.csv;detections_2023-08-27_11-37-37.230.csv;detections_2023-08-27_11-37-59.620.csv;detections_2023-08-27_11-46-16.910.csv;detections_2023-08-27_11-55-15.880.csv;detections_2023-08-27_12-36-58.390.csv;detections_2023-08-27_12-41-20.950.csv;detections_2023-08-27_13-26-03.210.csv;detections_2023-08-27_14-02-20.400.csv;detections_2023-08-28_01-25-08.290.csv;detections_2023-08-28_04-28-20.740.csv;detections_2023-08-28_08-14-42.960.csv;detections_2023-08-28_12-58-31.740.csv;detections_2023-08-28_18-47-59.200.csv;detections_2023-08-28_21-51-59.670.csv;detections_2023-08-29_05-25-49.600.csv;detections_2023-08-29_07-44-59.430.csv;detections_2023-08-29_10-21-44.840.csv;detections_2023-08-30_05-59-49.670.csv;detections_2023-08-30_06-13-26.140.csv;detections_2023-08-30_15-58-06.050.csv,True,NA
