Channel,Optical Distance [m],Latitude [°],Longitude [°],Elevation [m],Uncertainty [m],Distance along road [m],Azimuth [°],Pick,x,y,Direction,Direction_manual,Curve,Notice,Direction_manual_simplified,Lithology,slope_deg
34,325.4,46.78474,-121.73957,1659.0,9.9,253.4,216.0,True,-200.6282443,-124.0935381,SW,SW,True,,SW,Qra,2.5948195457458496
35,335.0,46.78468,-121.73964,1657.0,10.5,262.4,207.0,True,-205.9582564,-130.7652337,SSW,SW,True,,SW,Qra,4.1779584884643555
36,344.6,46.7846,-121.73966,1657.0,10.9,270.5,198.0,True,-207.4813615,-139.6608279,SSW,S,True,,SW,Qra,4.804677486419678
37,354.1,46.78453,-121.73968,1657.0,11.3,278.6,189.0,True,-209.0044322,-147.4444727,S,S,True,,SW,Qra,5.079534530639648
38,363.7,46.78446,-121.73969,1658.0,11.8,286.7,189.0,True,-209.7661055,-155.2281176,S,S,True,,SW,Qra,3.450561761856079
39,373.3,46.78439,-121.73971,1658.0,11.8,294.8,189.0,True,-211.2891832,-163.0117624,S,S,True,,SW,Qra,4.413193702697754
40,382.8,46.78431,-121.73973,1658.0,11.8,302.9,187.0,True,-212.8123043,-171.9073566,S,S,True,,SW,Qra,4.881347179412842
41,392.4,46.78419,-121.73973,1656.0,10.2,316.6,184.0,True,-212.8127787,-185.2507478,S,S,True,,SW,Qra,3.387706995010376
42,402.0,46.78407,-121.73974,1655.0,13.0,330.4,182.0,True,-213.5746601,-198.594139,S,S,True,,SW,Qra,4.777505874633789
43,411.6,46.78395,-121.73975,1653.0,15.8,344.1,187.0,True,-214.3365448,-211.9375301,S,S,True,,SW,Qra,3.8787105083465576
44,421.1,46.78389,-121.73977,1652.0,12.3,350.8,192.0,True,-215.8596028,-218.6092257,SSW,S,True,,SW,Qra,4.052701473236084
45,430.7,46.78383,-121.7398,1652.0,10.4,357.4,197.0,True,-218.1440745,-225.2809213,SSW,S,True,,SW,Qra,3.633854627609253
46,440.3,46.78377,-121.73982,1652.0,13.9,364.1,197.0,True,-219.6671401,-231.9526169,SSW,SW,True,,SW,Qra,3.605583667755127
47,449.8,46.78372,-121.73985,1651.0,13.9,370.8,205.0,True,-221.9515799,-237.5123633,SSW,SW,True,,SW,Qra,4.193484306335449
48,459.4,46.78365,-121.73993,1650.0,12.2,380.8,213.0,True,-228.0431719,-245.2960081,SSW,SW,True,,SW,Qra,5.0876851081848145
49,469.0,46.78358,-121.74002,1650.0,10.6,390.8,221.0,True,-234.8961937,-253.079653,SW,SW,True,,SW,Qra,4.744358062744141
50,478.6,46.78351,-121.7401,1650.0,10.3,400.9,221.0,True,-240.9878184,-260.8632978,SW,SW,True,,SW,Qra,4.824244499206543
51,488.1,46.78344,-121.74019,1649.0,10.3,410.9,231.0,True,-247.8408748,-268.6469427,SW,W,True,,SW,Qra,3.6182801723480225
