Channel,Optical Distance [m],Latitude [°],Longitude [°],Elevation [m],x [m],y [m],Uncertainty [m],Distance along road [m],Azimuth [°],Pick,Direction []
66,631.7,46.78349,-121.74179,1641,-369.34073,-262.89658,11.1,538.2,298,True,WNW
67,641.3,46.78353,-121.74188,1641,-376.73706,-258.54409,11.1,546.8,300,True,WNW
68,650.8,46.78357,-121.74198,1640,-384.13339,-254.19160,11.1,555.3,304,True,NW
69,660.4,46.78365,-121.74212,1641,-395.14786,-244.74003,11.1,569.9,307,True,NW
70,670.0,46.78374,-121.74227,1643,-406.16232,-235.28846,14.0,584.4,311,True,NW
71,679.5,46.78383,-121.74241,1644,-417.17679,-225.83690,17.0,598.9,314,True,NW
72,689.1,46.78387,-121.74247,1644,-421.51642,-220.30495,13.2,605.9,318,True,NW
73,698.7,46.78392,-121.74253,1644,-425.85606,-214.77300,9.6,612.9,322,True,NW
74,708.3,46.78397,-121.74259,1643,-430.19570,-209.24105,13.4,620.0,322,True,NW
75,717.8,46.78402,-121.74264,1643,-434.53534,-203.70911,13.4,627.0,326,True,NW
76,727.4,46.78408,-121.74268,1642,-437.50436,-197.57485,13.5,633.8,330,False,NNW
77,737.0,46.78413,-121.74272,1642,-440.47339,-191.44060,13.6,640.6,334,True,NNW
78,746.5,46.78419,-121.74276,1642,-443.44242,-185.30635,13.7,647.4,334,True,NNW
79,756.1,46.78424,-121.74280,1641,-446.41144,-179.17209,13.7,654.3,334,True,NNW
80,765.7,46.78430,-121.74284,1640,-449.38047,-173.03784,13.7,661.1,334,False,NNW
81,775.3,46.78435,-121.74288,1640,-452.34950,-166.90358,13.7,667.9,336,True,NNW
82,784.8,46.78443,-121.74292,1639,-455.36908,-158.45277,12.6,676.9,338,True,NNW
83,794.4,46.78451,-121.74296,1639,-458.38866,-150.00196,11.5,685.8,340,True,NNW
84,804.0,46.78458,-121.74299,1638,-461.40824,-141.55114,10.5,694.8,339,True,NNW
85,813.5,46.78475,-121.74310,1637,-469.21108,-122.64800,14.4,715.3,338,True,NNW
86,823.1,46.78492,-121.74320,1636,-477.01392,-103.74487,20.2,735.7,331,True,NNW
87,832.7,46.78496,-121.74325,1636,-480.51600,-99.69737,18.3,741.1,325,False,NW
88,842.2,46.78500,-121.74329,1636,-484.01808,-95.64988,10.8,746.4,319,True,NW
89,851.8,46.78503,-121.74334,1635,-487.52017,-91.60238,15.9,751.8,319,True,NW
90,861.4,46.78507,-121.74338,1635,-491.02225,-87.55489,15.9,757.1,319,True,NW
91,871.0,46.78511,-121.74343,1635,-494.52433,-83.50739,15.9,762.5,308,True,NW
92,880.5,46.78514,-121.74359,1634,-507.03621,-79.72676,12.0,775.5,298,True,WNW
93,890.1,46.78517,-121.74376,1634,-519.54809,-75.94613,11.0,788.6,287,True,WNW
94,899.7,46.78521,-121.74392,1633,-532.05996,-72.16551,14.8,801.7,276,True,W
95,909.2,46.78519,-121.74399,1633,-537.34415,-73.54432,11.0,807.1,266,True,W
96,918.8,46.78518,-121.74406,1632,-542.62833,-74.92314,11.9,812.6,255,True,WSW
97,928.4,46.78517,-121.74413,1632,-547.91251,-76.30196,15.7,818.1,255,True,WSW
98,938.0,46.78516,-121.74420,1631,-553.19669,-77.68078,15.7,823.5,255,True,WSW
99,947.5,46.78514,-121.74427,1631,-558.48087,-79.05959,15.7,829.0,244,True,WSW
100,957.1,46.78510,-121.74433,1630,-563.17663,-84.26722,15.0,836.0,233,False,SW
101,966.7,46.78505,-121.74439,1630,-567.87239,-89.47485,14.2,843.0,222,False,SW
102,976.2,46.78500,-121.74446,1629,-572.56815,-94.68248,13.4,850.0,222,False,SW
103,985.8,46.78496,-121.74452,1628,-577.26391,-99.89011,13.4,857.0,222,False,SW
104,995.4,46.78491,-121.74458,1628,-581.95967,-105.09774,13.4,864.1,222,False,SW
105,1005.0,46.78486,-121.74464,1627,-586.65543,-110.30537,13.4,871.1,213,False,SSW
106,1014.5,46.78482,-121.74466,1627,-587.97565,-115.01262,14.5,876.0,204,False,SSW
107,1024.1,46.78478,-121.74467,1626,-589.29587,-119.71987,15.5,880.8,196,False,SSW
108,1033.7,46.78474,-121.74469,1626,-590.61609,-124.42712,16.6,885.7,196,False,SSW
109,1043.2,46.78469,-121.74471,1626,-591.93631,-129.13437,16.6,890.6,196,True,SSW
110,1052.8,46.78465,-121.74473,1625,-593.25653,-133.84163,16.6,895.5,196,True,SSW
111,1062.4,46.78461,-121.74474,1625,-594.57675,-138.54888,16.6,900.4,192,True,SSW
112,1072.0,46.78454,-121.74475,1624,-595.03436,-146.22133,15.2,908.1,187,True,S
113,1081.5,46.78447,-121.74476,1624,-595.49196,-153.89378,13.8,915.8,183,True,S
114,1091.1,46.78440,-121.74476,1624,-595.94956,-161.56623,12.4,923.5,183,False,S
115,1100.7,46.78433,-121.74477,1623,-596.40717,-169.23868,12.4,931.1,182,True,S
116,1110.2,46.78423,-121.74477,1622,-596.31317,-181.02534,10.3,942.9,181,True,S
117,1119.8,46.78412,-121.74477,1621,-596.21916,-192.81200,10.8,954.7,180,True,S
118,1129.4,46.78402,-121.74476,1620,-596.12516,-204.59866,12.9,966.5,180,True,S
119,1138.9,46.78391,-121.74476,1619,-596.03116,-216.38533,12.9,978.3,180,True,S
120,1148.5,46.78383,-121.74476,1618,-596.03200,-224.78054,11.2,986.7,180,False,S
121,1158.1,46.78376,-121.74476,1618,-596.03283,-233.17576,9.6,995.1,180,True,S
122,1167.7,46.78368,-121.74476,1618,-596.03367,-241.57098,11.3,1003.5,180,True,S
123,1177.2,46.78361,-121.74476,1617,-596.03450,-249.96620,11.3,1011.9,180,True,S
124,1186.8,46.78355,-121.74476,1617,-596.00469,-256.43774,12.3,1018.3,180,True,S
125,1196.4,46.78349,-121.74476,1616,-595.97488,-262.90928,13.3,1024.8,180,True,S
126,1205.9,46.78343,-121.74476,1616,-595.94507,-269.38083,14.2,1031.3,180,True,S
127,1215.5,46.78338,-121.74476,1615,-595.91525,-275.85237,14.2,1037.8,180,True,S
128,1225.1,46.78332,-121.74476,1615,-595.88544,-282.32392,14.2,1044.2,180,True,S
129,1234.7,46.78321,-121.74476,1615,-595.75332,-293.66580,11.8,1055.6,179,True,S
130,1244.2,46.78311,-121.74476,1616,-595.62120,-305.00768,9.8,1066.9,179,True,S
131,1253.8,46.78301,-121.74476,1616,-595.48908,-316.34957,12.2,1078.3,179,True,S
132,1263.4,46.78291,-121.74475,1616,-595.35696,-327.69145,12.2,1089.6,179,True,S
133,1272.9,46.78285,-121.74475,1615,-595.28150,-334.58553,10.0,1096.5,179,True,S
134,1282.5,46.78278,-121.74475,1614,-595.20605,-341.47962,11.4,1103.4,179,True,S
135,1292.1,46.78272,-121.74475,1614,-595.13059,-348.37371,13.6,1110.3,179,True,S
136,1301.7,46.78266,-121.74475,1613,-595.05513,-355.26779,13.6,1117.2,180,True,S
137,1311.2,46.78258,-121.74475,1613,-595.24640,-364.41357,12.5,1126.3,181,True,S
138,1320.8,46.78250,-121.74475,1613,-595.43767,-373.55936,11.3,1135.5,181,True,S
139,1330.4,46.78241,-121.74476,1613,-595.62893,-382.70514,10.2,1144.6,181,False,S
140,1339.9,46.78233,-121.74476,1613,-595.82020,-391.85092,10.2,1153.8,185,True,S
141,1349.5,46.78230,-121.74477,1612,-596.74385,-395.95123,12.7,1158.0,189,False,S
142,1359.1,46.78226,-121.74478,1612,-597.66750,-400.05155,15.2,1162.2,193,False,SSW
143,1368.7,46.78222,-121.74480,1611,-598.59115,-404.15186,17.6,1166.4,193,False,SSW
144,1378.2,46.78218,-121.74481,1610,-599.51480,-408.25217,17.6,1170.6,193,False,SSW
145,1387.8,46.78215,-121.74482,1610,-600.43845,-412.35249,17.6,1174.8,193,False,SSW
146,1397.4,46.78211,-121.74483,1609,-601.36209,-416.45280,17.6,1179.0,193,False,SSW
147,1406.9,46.78207,-121.74484,1609,-602.28574,-420.55311,17.6,1183.2,193,True,SSW
148,1416.5,46.78204,-121.74486,1608,-603.20939,-424.65342,17.6,1187.4,198,True,SSW
149,1426.1,46.78198,-121.74490,1608,-606.71269,-431.39925,15.9,1195.0,203,True,SSW
